tension,geojson
13.2,"-64.7955060627189,-23.942722899362"
33,"-64.7851738128793,-23.9408354623835"
33,"-64.7860385549297,-23.8215664370582"
33,"-64.7952911294928,-23.8607503060716"
33,"-64.7860385549297, -23.8215664370582"
33,"-64.7835475529928, -23.8283607859905"
13.2,"-64.8042163355115, -23.9439410573644"
13.2,"-64.8039189921682, -23.945969836513"
13.2,"-64.8049595075263, -23.9461164291147"
13.2,"-64.8007338540248, -23.9455304618013"
13.2,"-64.8007312482684, -23.9455304522859"
13.2,"-64.8049597955316, -23.9461379436804"
13.2,"-64.7868300327252, -23.8208868242856"
33,"-64.7946849890082, -23.9423562641201"
33,"-64.7951097310754, -23.9423746174146"
13.2,"-64.7941872174836, -23.942312031645"
33,"-64.8011310055581, -23.9456387632867"
13.2,"-64.8011301426232, -23.9455921193791"
13.2,"-64.7986811855283, -23.9452160163575"
13.2,"-64.7997213427778, -23.945390296192"
13.2,"-64.7951625715113, -23.9447252648664"
13.2,"-64.8017810757257, -23.9456218296052"
13.2,"-65.3910777811539, -24.1678335737071"
13.2,"-65.3886184114011, -24.1666417869427"
13.2,"-65.3910760066005, -24.1678588814286"
13.2,"-65.1089981954427, -24.3965173447849"
13.2,"-65.1104644712099, -24.3962597333316"
13.2,"-65.2816898017344, -24.1948623446961"
13.2,"-65.110464534425, -24.3962507062187"
13.2,"-65.2816898523063, -24.1948533169637"
13.2,"-65.2816899028781, -24.1948442892312"
13.2,"-65.4346293345499, -23.5802939198985"
13.2,"-65.4346293732189, -23.5802848911741"
13.2,"-65.4346295850476, -23.5802758567056"
13.2,"-65.4323791933172, -23.5784850192744"
13.2,"-65.4326751004416, -23.5820229831921"
13.2,"-65.4323791933172, -23.5784850192743"
13.2,"-65.2848954144474, -24.2131272887385"
13.2,"-65.2832597595832, -24.21399460263"
13.2,"-65.2832596171054, -24.2140153525424"
7.6,"-65.3019104043657, -24.1753386934676"
7.6,"-65.3104420543466, -24.1683278334448"
7.6,"-65.3125983402196, -24.167836073878"
13.2,"-65.3110614484814, -24.170532854951"
13.2,"-65.3123996013832, -24.1680267257206"
13.2,"-65.072516943279, -24.4912147372567"
13.2,"-65.2749632028151, -24.2564679605928"
13.2,"-65.2747588449224, -24.2636607376504"
13.2,"-64.7915254412122, -23.8320658434197"
13.2,"-64.7897631684543, -23.8318989707101"
13.2,"-65.2203642202611, -24.3901441776781"
13.2,"-64.7915255248539, -23.8320568165649"
13.2,"-65.3567283139885, -24.0052755224752"
13.2,"-65.3581819819754, -24.0055057087386"
13.2,"-65.7621787131478, -22.7907743574594"
13.2,"-65.7699089899854, -22.7925189655357"
13.2,"-65.0947488228528, -24.3257653735114"
13.2,"-65.7773733270845, -22.818573950299"
13.2,"-64.8893829277318, -24.2538743924575"
13.2,"-64.9002898682542, -24.2591791580498"
13.2,"-64.8929857495956, -24.2577535847938"
13.2,"-64.8951494133448, -24.2571888290602"
13.2,"-64.8924074352348, -24.2577174996193"
13.2,"-64.8950891591631, -24.2578876343794"
13.2,"-64.6432404594403, -24.2709674185462"
13.2,"-64.6371265553367, -24.2708941904986"
13.2,"-64.8951511025623, -24.2571615709747"
13.2,"-65.4979160258248, -23.7459188223668"
13.2,"-65.4648277883405, -23.9154945244682"
13.2,"-65.3359425652332, -24.1838295696177"
13.2,"-64.6415744968244,-24.2710595577052"
13.2,"-65.4979160258248,-23.7459188223668"
13.2,"-65.4981850405922,-23.7456705015341"
13.2,"-65.4648277883405,-23.9154945244682"
13.2,"-65.3359425652332,-24.1838295696177"
13.2,"-65.3004172880864,-24.208765803215"
13.2,"-65.4654660912245,-23.8533204152086"
33,"-65.2216027404832,-24.3895221525906"
33,"-65.2216027957835,-24.3895131252136"
13.2,"-65.2213500533209,-24.3885416080419"
13.2,"-65.2213501086366,-24.3885325806643"
13.2,"-65.2213501639523,-24.3885235532867"
33,"-65.2491218444669,-24.2368683733916"
33,"-65.4824951295543,-23.9399001927052"
33,"-65.4903586900343,-23.9393396286487"
33,"-65.4903587880979,-23.9393293935046"
13.2,"-65.3248744696836,-24.183094789447"
13.2,"-65.3249683071576,-24.1832010047604"
13.2,"-65.3226218220991,-24.1839604824328"
13.2,"-65.3825616083626,-24.1600720583497"
13.2,"-65.3854067403684,-24.1567020430641"
13.2,"-65.3798403098762,-24.1619897898887"
