tension,latitud_y_longitud,poder de voltaje
13.2,"-64.7955060627189,-23.942722899362",MEDIO
33.0,"-64.7851738128793,-23.9408354623835",ALTO
33.0,"-64.7860385549297,-23.8215664370582",ALTO
33.0,"-64.7952911294928,-23.8607503060716",ALTO
33.0,"-64.7860385549297, -23.8215664370582",ALTO
33.0,"-64.7835475529928, -23.8283607859905",ALTO
13.2,"-64.8042163355115, -23.9439410573644",MEDIO
13.2,"-64.8039189921682, -23.945969836513",MEDIO
13.2,"-64.8049595075263, -23.9461164291147",MEDIO
13.2,"-64.8007338540248, -23.9455304618013",MEDIO
13.2,"-64.8007312482684, -23.9455304522859",MEDIO
13.2,"-64.8049597955316, -23.9461379436804",MEDIO
13.2,"-64.7868300327252, -23.8208868242856",MEDIO
33.0,"-64.7946849890082, -23.9423562641201",ALTO
33.0,"-64.7951097310754, -23.9423746174146",ALTO
13.2,"-64.7941872174836, -23.942312031645",MEDIO
33.0,"-64.8011310055581, -23.9456387632867",ALTO
13.2,"-64.8011301426232, -23.9455921193791",MEDIO
13.2,"-64.7986811855283, -23.9452160163575",MEDIO
13.2,"-64.7997213427778, -23.945390296192",MEDIO
13.2,"-64.7951625715113, -23.9447252648664",MEDIO
13.2,"-64.8017810757257, -23.9456218296052",MEDIO
13.2,"-65.3910777811539, -24.1678335737071",MEDIO
13.2,"-65.3886184114011, -24.1666417869427",MEDIO
13.2,"-65.3910760066005, -24.1678588814286",MEDIO
13.2,"-65.1089981954427, -24.3965173447849",MEDIO
13.2,"-65.1104644712099, -24.3962597333316",MEDIO
13.2,"-65.2816898017344, -24.1948623446961",MEDIO
13.2,"-65.110464534425, -24.3962507062187",MEDIO
13.2,"-65.2816898523063, -24.1948533169637",MEDIO
13.2,"-65.2816899028781, -24.1948442892312",MEDIO
13.2,"-65.4346293345499, -23.5802939198985",MEDIO
13.2,"-65.4346293732189, -23.5802848911741",MEDIO
13.2,"-65.4346295850476, -23.5802758567056",MEDIO
13.2,"-65.4323791933172, -23.5784850192744",MEDIO
13.2,"-65.4326751004416, -23.5820229831921",MEDIO
13.2,"-65.4323791933172, -23.5784850192743",MEDIO
13.2,"-65.2848954144474, -24.2131272887385",MEDIO
13.2,"-65.2832597595832, -24.21399460263",MEDIO
13.2,"-65.2832596171054, -24.2140153525424",MEDIO
7.6,"-65.3019104043657, -24.1753386934676",MEDIO
7.6,"-65.3104420543466, -24.1683278334448",MEDIO
7.6,"-65.3125983402196, -24.167836073878",MEDIO
13.2,"-65.3110614484814, -24.170532854951",MEDIO
13.2,"-65.3123996013832, -24.1680267257206",MEDIO
13.2,"-65.072516943279, -24.4912147372567",MEDIO
13.2,"-65.2749632028151, -24.2564679605928",MEDIO
13.2,"-65.2747588449224, -24.2636607376504",MEDIO
13.2,"-64.7915254412122, -23.8320658434197",MEDIO
13.2,"-64.7897631684543, -23.8318989707101",MEDIO
13.2,"-65.2203642202611, -24.3901441776781",MEDIO
13.2,"-64.7915255248539, -23.8320568165649",MEDIO
13.2,"-65.3567283139885, -24.0052755224752",MEDIO
